idx,avg_neg_mean,avg_neg_std,degree_mean,fiedler_mean,graph_type,pseudo_count
10,0.04853797251514487,0.004208716084982689,3.2,0.025197632483409404,erdos,24
11,0.04853797251514487,0.004208716084982685,2.2,0.02519763248340922,erdos,24
12,0.04853797251514487,0.004208716084982684,2.0,0.22519733456272983,erdos,24
13,0.058890380935244534,0.02265410984312158,3.6,0.025197632483409504,erdos,24
14,0.055529972472266854,0.019630702016724382,3.4,0.02519763248340931,erdos,24
15,0.049653805870948996,0.003669383156488626,3.8,0.025197632483409456,erdos,24
16,0.04853797251514487,0.004208716084982689,2.4,0.025197632483409487,erdos,24
17,0.04884280239302956,0.003913624443376658,3.6,0.025197632483409577,erdos,24
18,0.04853797251514487,0.004208716084982688,3.6,0.02519763248340941,erdos,24
19,0.05644086898407741,0.018392425951767703,3.0,0.025197632483409376,erdos,24
20,0.0618735380734145,0.033791937396924744,4.0,0.025197632483409525,erdos,24
21,0.04853797251514487,0.0042087160849826845,3.2,0.02519763248340947,erdos,24
22,0.04853797251514487,0.004208716084982686,2.8,0.02519763248340946,erdos,24
23,0.04853797251514487,0.0042087160849826905,2.2,0.02519763248340932,erdos,24
0,0.047674480069734584,0.00363136690350581,4.4,0.025197632483409095,erdos,32
1,0.05839707417908786,0.02674807521704764,3.0,0.025197632483409588,erdos,32
2,0.04767448006973456,0.0036313669035058097,3.0,0.025197632483409116,erdos,32
3,0.06497095788705827,0.025087767994911622,2.8,0.025197632483409595,erdos,32
4,0.061809105207612715,0.03509802055488826,4.8,0.02519763248340935,erdos,32
5,0.06618303651451976,0.02793129071005806,4.0,0.025197632483409605,erdos,32
6,0.04767448006973456,0.003631366903505805,3.0,0.025197632483409487,erdos,32
7,0.06348832220112946,0.035984684057081245,2.8,0.02519763248340956,erdos,32
8,0.04767448006973456,0.0036313669035058045,1.8,0.025197632483409515,erdos,32
9,0.04767448006973456,0.0036313669035058067,3.8,0.025197632483409595,erdos,32
10,0.04767448006973456,0.0036313669035058067,3.2,0.025197632483409404,erdos,32
11,0.04767448006973456,0.0036313669035058,2.2,0.02519763248340922,erdos,32
12,0.04767448006973456,0.003631366903505803,2.0,0.22519733456272983,erdos,32
13,0.057905829112445614,0.02207455171429542,3.6,0.025197632483409504,erdos,32
14,0.054472143630031736,0.018705851414896238,3.4,0.02519763248340931,erdos,32
15,0.04880425658875387,0.003362356267157704,3.8,0.025197632483409456,erdos,32
16,0.04767448006973456,0.0036313669035058036,2.4,0.025197632483409487,erdos,32
